Tennis US Open 2011 Mens Tournament The Final Djokovic v Nadal 
Match Odds
1315857600000
Mon Sep 12 21:00:00 BST 2011
Timestamp,Inplay delay,Market status,Selection ID,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1315871260864,5,ACTIVE,2249229,Novak Djokovic,1.51,1523.61,1.52,4890.88,3.4909028E7,1.51,
1315871260864,5,ACTIVE,2251410,Rafael Nadal,2.94,170.5,2.98,58.53,2571026.5,2.98,
1315871261864,5,ACTIVE,2249229,Novak Djokovic,1.5,32146.83,1.51,683.73,3.4918872E7,1.5,
1315871261864,5,ACTIVE,2251410,Rafael Nadal,2.94,170.5,2.98,29.15,2571085.2,2.98,
1315871262864,5,ACTIVE,2249229,Novak Djokovic,1.51,117.38,1.52,1638.94,3.492088E7,1.51,
1315871262864,5,ACTIVE,2251410,Rafael Nadal,2.94,118.95,3.0,40.0,2571249.8,2.98,
1315871263864,5,ACTIVE,2249229,Novak Djokovic,1.5,33480.14,1.51,104.98,3.4921284E7,1.5,
1315871263864,5,ACTIVE,2251410,Rafael Nadal,2.94,118.95,3.0,706.67,2571249.8,2.98,
1315871264864,5,ACTIVE,2249229,Novak Djokovic,1.5,31933.92,1.52,1553.17,3.4921952E7,1.5,
1315871264864,5,ACTIVE,2251410,Rafael Nadal,2.92,700.0,2.94,10.0,2571610.8,2.94,
1315871265864,5,ACTIVE,2249229,Novak Djokovic,1.51,23.15,1.52,1553.17,3.49264E7,1.5,
1315871265864,5,ACTIVE,2251410,Rafael Nadal,2.94,50.0,3.0,40.0,2571614.8,2.94,
1315871266864,5,ACTIVE,2249229,Novak Djokovic,1.51,7971.31,1.52,1167.77,3.4927436E7,1.51,
1315871266864,5,ACTIVE,2251410,Rafael Nadal,2.96,38.16,3.0,40.0,2571664.8,2.94,
1315871267864,5,ACTIVE,2249229,Novak Djokovic,1.51,8199.01,1.52,1197.8,3.493218E7,1.51,
1315871267864,5,ACTIVE,2251410,Rafael Nadal,2.96,46.6,3.0,40.0,2571677.0,2.96,
1315871268864,5,ACTIVE,2249229,Novak Djokovic,1.51,3086.66,1.52,3091.67,3.4946204E7,1.52,
1315871269864,5,ACTIVE,2249229,Novak Djokovic,1.52,1275.19,1.53,2973.04,3.495258E7,1.52,
1315871269864,5,ACTIVE,2251410,Rafael Nadal,2.92,700.0,3.0,40.0,2571774.2,2.94,
1315871270864,5,ACTIVE,2249229,Novak Djokovic,1.52,3908.0,1.53,2973.04,3.4952996E7,1.52,
1315871270864,5,ACTIVE,2251410,Rafael Nadal,2.92,702.01,2.94,90.43,2571835.5,2.94,
1315871271864,5,ACTIVE,2249229,Novak Djokovic,1.51,4170.93,1.52,7659.5,3.496106E7,1.51,
1315871271864,5,ACTIVE,2251410,Rafael Nadal,2.92,702.01,3.0,706.67,2572052.0,2.98,
1315871272864,5,ACTIVE,2249229,Novak Djokovic,1.51,2130.57,1.52,7615.5,3.4965232E7,1.51,
1315871272864,5,ACTIVE,2251410,Rafael Nadal,2.96,30.0,3.0,706.67,2572052.0,2.98,
1315871273864,5,ACTIVE,2249229,Novak Djokovic,1.51,524.84,1.52,7665.5,3.496864E7,1.52,
1315871273864,5,ACTIVE,2251410,Rafael Nadal,2.96,10.5,2.98,5.11,2572091.0,2.96,
1315871274864,5,ACTIVE,2249229,Novak Djokovic,1.5,32154.53,1.51,809.82,3.4971144E7,1.51,
1315871274864,5,ACTIVE,2251410,Rafael Nadal,2.98,18.62,3.0,706.67,2572108.0,2.98,
1315871275864,5,ACTIVE,2249229,Novak Djokovic,1.5,32154.53,1.51,1024.2,3.4972788E7,1.51,
1315871275864,5,ACTIVE,2251410,Rafael Nadal,2.94,18.01,3.0,706.67,2572260.0,2.96,
1315871276864,5,ACTIVE,2249229,Novak Djokovic,1.51,100.0,1.52,2493.59,3.4983912E7,1.51,
1315871276864,5,ACTIVE,2251410,Rafael Nadal,2.92,402.01,2.94,103.91,2572330.0,2.94,
1315871277864,5,ACTIVE,2249229,Novak Djokovic,1.51,100.0,1.52,4408.54,3.4987E7,1.52,
1315871277864,5,ACTIVE,2251410,Rafael Nadal,2.9,27.15,2.94,138.19,2574739.0,2.92,
1315871278864,5,ACTIVE,2249229,Novak Djokovic,1.5,30821.2,1.52,4312.49,3.4987864E7,1.51,
1315871278864,5,ACTIVE,2251410,Rafael Nadal,2.9,27.15,2.96,18.34,2575185.2,2.96,
1315871279864,5,ACTIVE,2249229,Novak Djokovic,1.5,30718.28,1.51,4350.41,3.4991352E7,1.51,
1315871279864,5,ACTIVE,2251410,Rafael Nadal,2.9,27.15,3.0,13.39,2575871.5,2.96,
1315871280864,5,ACTIVE,2249229,Novak Djokovic,1.5,30718.28,1.51,2838.74,3.4994368E7,1.51,
1315871280864,5,ACTIVE,2251410,Rafael Nadal,2.9,27.15,3.0,11.89,2575908.5,2.96,
1315871281864,5,ACTIVE,2249229,Novak Djokovic,1.5,30718.28,1.51,1691.93,3.4995652E7,1.51,
1315871281864,5,ACTIVE,2251410,Rafael Nadal,2.92,50.68,3.0,11.89,2576456.0,2.96,
1315871282864,5,ACTIVE,2249229,Novak Djokovic,1.5,30706.76,1.51,334.11,3.4997084E7,1.51,
1315871282864,5,ACTIVE,2251410,Rafael Nadal,2.92,50.68,3.05,77.71,2577141.8,2.96,
1315871283864,5,ACTIVE,2249229,Novak Djokovic,1.5,30706.76,1.51,241.99,3.4997188E7,1.51,
1315871283864,5,ACTIVE,2251410,Rafael Nadal,2.92,50.68,3.05,77.71,2577184.5,2.96,
1315871284864,5,ACTIVE,2249229,Novak Djokovic,1.5,30663.81,1.53,744.23,3.4997656E7,1.5,
1315871284864,5,ACTIVE,2251410,Rafael Nadal,2.98,6.86,3.05,77.71,2577310.8,3.0,
1315871285864,5,ACTIVE,2249229,Novak Djokovic,1.5,30663.81,1.53,698.72,3.4997712E7,1.53,
1315871285864,5,ACTIVE,2251410,Rafael Nadal,2.86,101.32,2.94,705.69,2577583.8,2.88,
1315871286864,5,ACTIVE,2249229,Novak Djokovic,1.5,30663.81,1.53,698.72,3.4997828E7,1.51,
1315871286864,5,ACTIVE,2251410,Rafael Nadal,2.86,101.32,2.94,713.22,2577639.2,2.94,
1315871287864,5,ACTIVE,2249229,Novak Djokovic,1.55,6165.6,1.56,5551.35,3.500124E7,1.55,
1315871287864,5,ACTIVE,2251410,Rafael Nadal,2.8,479.67,2.82,2230.49,2579531.0,2.82,
1315871288864,5,ACTIVE,2249229,Novak Djokovic,1.58,8736.46,1.59,1533.49,3.5020476E7,1.58,
1315871288864,5,ACTIVE,2251410,Rafael Nadal,2.7,314.94,2.82,2230.49,2581246.2,2.74,
1315871289864,5,ACTIVE,2249229,Novak Djokovic,1.6,13365.86,1.62,9955.87,3.5026472E7,1.6,
1315871289864,5,ACTIVE,2251410,Rafael Nadal,2.66,124.66,2.82,2230.49,2581604.0,2.68,
1315871290864,5,ACTIVE,2249229,Novak Djokovic,1.6,12584.52,1.62,9955.87,3.5028008E7,1.6,
1315871290864,5,ACTIVE,2251410,Rafael Nadal,2.66,124.66,2.82,2230.49,2581619.8,2.68,
1315871291864,5,ACTIVE,2249229,Novak Djokovic,1.6,12021.26,1.62,9955.87,3.5029132E7,1.6,
1315871291864,5,ACTIVE,2251410,Rafael Nadal,2.66,124.66,2.82,2230.49,2581619.8,2.68,
1315871292864,5,ACTIVE,2249229,Novak Djokovic,1.6,11935.42,1.62,9955.87,3.5029276E7,1.6,
1315871292864,5,ACTIVE,2251410,Rafael Nadal,2.66,124.66,2.82,2230.49,2581637.8,2.68,
1315871293864,5,ACTIVE,2249229,Novak Djokovic,1.59,1257.86,1.62,9955.87,3.50293E7,1.6,
1315871293864,5,ACTIVE,2251410,Rafael Nadal,2.66,124.66,2.72,735.29,2581637.8,2.68,
1315871294864,5,ACTIVE,2249229,Novak Djokovic,1.59,1600.94,1.62,9955.87,3.50293E7,1.6,
1315871294864,5,ACTIVE,2251410,Rafael Nadal,2.66,124.66,2.72,735.29,2581637.8,2.68,
1315871295864,5,ACTIVE,2249229,Novak Djokovic,1.59,258.23,1.62,9955.87,3.50315E7,1.59,
1315871295864,5,ACTIVE,2251410,Rafael Nadal,2.66,124.66,2.72,735.29,2581923.5,2.7,
1315871296864,5,ACTIVE,2249229,Novak Djokovic,1.61,1242.24,1.62,9171.67,3.5033372E7,1.62,
1315871296864,5,ACTIVE,2251410,Rafael Nadal,2.62,403.78,2.66,751.88,2582054.0,2.64,
1315871297864,5,ACTIVE,2249229,Novak Djokovic,1.59,915.34,1.62,8171.67,3.5035716E7,1.6,
1315871297864,5,ACTIVE,2251410,Rafael Nadal,2.62,403.78,2.66,557.59,2582267.0,2.66,
1315871298864,5,ACTIVE,2249229,Novak Djokovic,1.59,1887.28,1.62,8043.01,3.5036072E7,1.61,
1315871298864,5,ACTIVE,2251410,Rafael Nadal,2.62,403.78,2.68,388.7,2582641.8,2.68,
1315871299864,5,ACTIVE,2249229,Novak Djokovic,1.59,1772.97,1.62,6894.03,3.5038604E7,1.62,
1315871299864,5,ACTIVE,2251410,Rafael Nadal,2.62,403.78,2.66,160.68,2582656.5,2.64,
1315871300864,5,ACTIVE,2249229,Novak Djokovic,1.61,963.05,1.62,6694.03,3.5039204E7,1.61,
1315871300864,5,ACTIVE,2251410,Rafael Nadal,2.62,303.78,2.66,117.79,2582742.2,2.66,
1315871301864,5,ACTIVE,2251410,Rafael Nadal,2.62,303.78,2.66,117.79,2582742.2,2.66,
1315871302864,5,ACTIVE,2249229,Novak Djokovic,1.61,982.8,1.62,6694.03,3.5039496E7,1.61,
1315871302864,5,ACTIVE,2251410,Rafael Nadal,2.62,303.78,2.66,117.79,2582742.2,2.66,
1315871303864,5,ACTIVE,2249229,Novak Djokovic,1.59,4014.41,1.62,694.03,3.5056764E7,1.59,
1315871303864,5,ACTIVE,2251410,Rafael Nadal,2.62,303.78,2.68,438.7,2582933.8,2.66,
1315871304864,5,ACTIVE,2249229,Novak Djokovic,1.62,1879.36,1.63,12.86,3.5058764E7,1.62,
1315871304864,5,ACTIVE,2251410,Rafael Nadal,2.6,162.0,2.68,438.7,2583271.8,2.62,
1315871305864,5,ACTIVE,2249229,Novak Djokovic,1.62,2660.59,1.63,12.86,3.5059472E7,1.62,
1315871305864,5,ACTIVE,2251410,Rafael Nadal,2.6,162.0,2.64,30.0,2583400.2,2.62,
1315871306864,5,ACTIVE,2249229,Novak Djokovic,1.62,6641.78,1.63,12.86,3.5064848E7,1.62,
1315871306864,5,ACTIVE,2251410,Rafael Nadal,2.6,162.0,2.64,30.0,2583507.0,2.62,
1315871307864,5,ACTIVE,2249229,Novak Djokovic,1.62,9530.07,1.63,12.86,3.5066288E7,1.62,
1315871307864,5,ACTIVE,2251410,Rafael Nadal,2.6,162.0,2.64,30.0,2583607.0,2.62,
1315871308864,5,ACTIVE,2249229,Novak Djokovic,1.62,27716.05,1.63,12.86,3.5070772E7,1.62,
1315871309864,5,ACTIVE,2249229,Novak Djokovic,1.62,23165.97,1.63,12.86,3.507914E7,1.62,
1315871309864,5,ACTIVE,2251410,Rafael Nadal,2.6,162.0,2.62,194.7,2583817.5,2.62,
1315871310864,5,ACTIVE,2249229,Novak Djokovic,1.62,20178.08,1.63,1000.0,3.5085568E7,1.62,
1315871310864,5,ACTIVE,2251410,Rafael Nadal,2.56,128.0,2.62,790.9,2584050.8,2.6,
