Barclays ATP World Tour Finals - Tsonga vs Federer
Timestamp,Inplay delay,Market status,Selection ID,Selection name,BP1,BV1,BP2,BV2,BP3,BV3,LP1,LV1,LP2,LV2,LP3,LV3,Total matched,LPM, Set1, Set2, Set3, Points
1322422743047,5,ACTIVE,2251402,Roger Federer,1.62,2175.73,1.61,15083.56,1.6,11156.45,1.63,79.68,1.7,186.05,1.72,60,1.1398671E7,1.62,3,7,2,0
1322422744047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.8,10505.99,3,3,3.05,59.93,491538,2.62,6,6,2,15
1322422744047,5,ACTIVE,2251402,Roger Federer,1.62,1172.32,1.61,13695.54,1.6,11156.45,1.68,169.59,1.7,186.05,1.72,60,1.1398968E7,1.62,3,7,2,0
1322422745047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.62,6.24,2.8,10505.99,3,3,491563.4,2.3,6,6,2,15
1322422745047,5,ACTIVE,2251402,Roger Federer,1.7,5396.72,1.67,10273.97,1.63,1026.59,1.79,4348.9,1.8,386.19,1.82,11.13,1.1408093E7,1.78,3,7,2,0
1322422746047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.36,697.9,2.6,20.54,2.62,6.24,491767.62,2.36,6,6,2,15
1322422746047,5,ACTIVE,2251402,Roger Federer,1.72,3000,1.7,5294.47,1.69,3000,1.79,4348.9,1.8,386.19,1.82,11.13,1.1408093E7,1.78,3,7,2,0
1322422747047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.26,17623.28,2.36,697.9,2.62,6.24,491771.03,2.26,6,6,2,15
1322422747047,5,ACTIVE,2251402,Roger Federer,1.8,22038.87,1.77,3507.06,1.72,3000,1.82,11.13,1.83,2,1.85,33.56,1.1417769E7,1.8,3,7,2,0
1322422748047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.26,17620.72,2.36,697.9,2.62,6.24,491776.2,2.26,6,6,2,15
1322422748047,5,ACTIVE,2251402,Roger Federer,1.8,21576.61,1.77,3507.06,1.72,3000,1.82,11.13,1.83,2,1.85,33.56,1.1418693E7,1.8,3,7,2,0
1322422749047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.26,17608.04,2.36,697.9,2.8,10505.99,491801.53,2.26,6,6,2,15
1322422749047,5,ACTIVE,2251402,Roger Federer,1.8,21546.61,1.77,3507.06,1.76,9405.82,1.82,11.13,1.83,2,1.85,33.56,1.1418753E7,1.8,3,7,2,0
1322422750047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.26,17608.04,2.36,697.9,2.38,25,491801.53,2.26,6,6,2,15
1322422750047,5,ACTIVE,2251402,Roger Federer,1.8,21527.55,1.77,3507.06,1.76,9405.82,1.82,11.13,1.83,2,1.85,1114.64,1.1418791E7,1.8,3,7,2,15
1322422751047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.26,17608.04,2.38,25,2.8,10505.99,491801.53,2.26,6,6,2,15
1322422751047,5,ACTIVE,2251402,Roger Federer,1.8,21527.55,1.77,12912.88,1.76,9405.82,1.82,11.13,1.83,2,1.84,1087.06,1.1418791E7,1.8,3,7,2,15
1322422752047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.08,19.09,2,253.28,1.9,9.42,2.2,181.39,2.26,17608.04,2.38,25,491871.6,2.2,6,6,2,15
1322422752047,5,ACTIVE,2251402,Roger Federer,1.8,21520.27,1.77,12912.88,1.76,9405.82,1.84,1087.06,1.85,33.56,1.88,64.67,1.1418821E7,1.83,3,7,2,15
1322422753047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.08,19.09,2,253.28,1.9,9.42,2.26,17608.04,2.38,25,2.8,10505.99,492053,2.2,6,6,2,15
1322422753047,5,ACTIVE,2251402,Roger Federer,1.81,100,1.8,21370.44,1.77,12912.88,1.83,907.96,1.85,33.56,1.88,64.67,1.1419381E7,1.83,3,7,2,15
1322422754047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.08,19.09,2,253.28,1.9,9.42,2.24,50.49,2.26,17608.04,2.38,25,492087.25,2.2,6,6,2,15
1322422754047,5,ACTIVE,2251402,Roger Federer,1.82,13.64,1.81,100,1.8,21370.44,1.85,33.56,1.88,64.67,1.9,514.14,1.1419508E7,1.83,3,7,2,15
1322422755047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.16,214.04,2.08,19.09,2,253.28,2.24,12.84,2.26,17608.04,2.38,25,492088.94,2.22,6,6,2,15
1322422755047,5,ACTIVE,2251402,Roger Federer,1.8,21024.27,1.77,9405.82,1.76,255.29,1.84,951.29,1.85,33.56,1.88,254.74,1.1422124E7,1.8,3,7,2,15
1322422756047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.16,214.04,2.08,19.09,2,253.28,2.24,12.84,2.26,17608.04,2.8,10505.99,492088.94,2.22,6,6,2,15
1322422756047,5,ACTIVE,2251402,Roger Federer,1.83,361.44,1.82,1712.32,1.81,3982.84,1.85,33.56,1.88,937.72,1.9,514.14,1.1422131E7,1.83,3,7,2,15
1322422757047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.16,214.04,2.14,46.73,2.08,19.09,2.24,31.67,2.26,17608.04,2.8,10505.99,492094.53,2.22,6,6,2,15
1322422757047,5,ACTIVE,2251402,Roger Federer,1.82,343.93,1.81,4182.84,1.8,21024.27,1.84,256.95,1.85,33.56,1.87,53.48,1.1425584E7,1.82,3,7,2,15
1322422758047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.16,214.04,2.14,46.73,2.08,19.09,2.24,12.84,2.26,17608.04,2.8,10505.99,492305.4,2.18,6,6,2,15
1322422758047,5,ACTIVE,2251402,Roger Federer,1.81,3447.93,1.8,21024.27,1.79,128.42,1.82,10,1.83,163.54,1.84,9.45,1.1428002E7,1.81,3,7,2,15
1322422759047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.16,214.04,2.14,46.73,2.08,204.28,2.24,12.84,2.26,17608.04,2.8,10505.99,492474.9,2.18,6,6,2,15
1322422759047,5,ACTIVE,2251402,Roger Federer,1.83,121.4,1.82,2682.56,1.81,3019.85,1.85,33.56,1.87,53.48,1.88,937.72,1.1429695E7,1.82,3,7,2,15
1322422760047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.16,214.04,2.14,46.73,2.08,204.28,2.24,17.12,2.26,17608.04,2.8,10505.99,492474.9,2.18,6,6,2,15
1322422760047,5,ACTIVE,2251402,Roger Federer,1.85,149.32,1.83,1425.86,1.82,2768.17,1.87,53.48,1.88,937.72,1.9,150.27,1.1430756E7,1.85,3,7,2,15
1322422761047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.2,71.71,2.16,214.04,2.14,46.73,2.24,24.28,2.26,17620.69,2.8,10505.99,493361.62,2.2,6,6,2,15
1322422761047,5,ACTIVE,2251402,Roger Federer,1.83,196.06,1.82,2376.32,1.81,4712.47,1.87,53.48,1.88,937.72,1.9,150.27,1.1435225E7,1.82,3,7,2,15
1322422762047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.2,23.2,2.16,214.04,2.08,204.28,2.24,24.28,2.26,17620.69,2.8,10505.99,493981.88,2.2,6,6,2,15
1322422762047,5,ACTIVE,2251402,Roger Federer,1.82,1719.29,1.81,4664.07,1.8,21024.27,1.83,160.88,1.87,951.19,1.88,873.04,1.1436406E7,1.82,3,7,2,15
1322422763047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.16,214.04,2.08,204.28,2,253.28,2.24,24.28,2.26,17620.69,2.8,10505.99,494022.62,2.22,6,6,2,15
1322422763047,5,ACTIVE,2251402,Roger Federer,1.85,196.06,1.82,1456.84,1.81,4664.07,1.87,840.16,1.88,873.04,1.9,150.27,1.1439482E7,1.82,3,7,2,15
1322422764047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.2,6.27,2.16,214.04,2.12,1124.14,2.24,24.28,2.26,17620.69,2.8,10505.99,494047.62,2.22,6,6,2,15
1322422764047,5,ACTIVE,2251402,Roger Federer,1.82,683.26,1.81,4664.07,1.8,21024.27,1.83,28.45,1.87,840.16,1.88,873.04,1.14414E7,1.82,3,7,2,15
1322422765047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.2,51.72,2.08,204.28,2,253.28,2.24,4.28,2.26,17608.04,2.8,10505.99,494049.62,2.22,6,6,2,15
1322422765047,5,ACTIVE,2251402,Roger Federer,1.82,477.05,1.81,4664.07,1.8,21024.27,1.83,76.63,1.84,428.08,1.87,840.16,1.1441652E7,1.82,3,7,2,15
1322422766047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.2,56.66,2.08,204.28,2,253.28,2.26,17608.04,2.8,10505.99,2.94,4.28,494156.62,2.2,6,6,2,15
1322422766047,5,ACTIVE,2251402,Roger Federer,1.81,4291.77,1.8,21024.27,1.74,3000,1.82,70.21,1.83,78.63,1.84,470.89,1.1443315E7,1.81,3,7,2,15
